character,level,strokes,grade,freq,onyomi,kunyomi,meanings
幸,N3,8,3,786,コウ,さいわ.い; さち; しあわ.せ,happiness; blessing; fortune
押,N3,8,8,789,オウ,お.す; お.し-; お.っ-; お.さえる; おさ.える,push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of
倒,N3,10,8,791,トウ,たお.れる; -だお.れ; たお.す; さかさま; さかさ; さかしま,overthrow; fall; collapse; drop; break down
等,N3,12,3,798,トウ,ひと.しい; など; -ら,etc.; and so forth; class (first); quality; equal; similar
老,N3,6,4,803,ロウ,お.いる; ふ.ける,old man; old age; grow old
曲,N3,6,3,810,キョク,ま.がる; ま.げる; くま,bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean
払,N3,5,8,813,フツ; ヒツ; ホツ,はら.う; -はら.い; -ばら.い,pay; clear out; prune; banish; dispose of
庭,N3,10,3,816,テイ,にわ,courtyard; garden; yard
徒,N3,10,4,817,ト,いたずら; あだ,on foot; junior; emptiness; vanity; futility; uselessness; ephemeral thing; gang; set; party; people
勤,N3,12,6,830,キン; ゴン,つと.める; -づと.め; つと.まる; いそ.しむ,diligence; become employed; serve
遅,N3,12,8,833,チ,おく.れる; おく.らす; おそ.い,slow; late; back; later
居,N3,8,5,836,キョ; コ,い.る; -い; お.る,reside; to be; exist; live with
雑,N3,14,5,839,ザツ; ゾウ,まじ.える; まじ.る,miscellaneous
招,N3,8,5,840,ショウ,まね.く,beckon; invite; summon; engage
困,N3,7,6,843,コン,こま.る,quandary; become distressed; annoyed
欠,N3,4,4,860,ケツ; ケン,か.ける; か.く,lack; gap; fail; yawning radical (no. 76)
更,N3,7,8,861,コウ,さら; さら.に; ふ.ける; ふ.かす,grow late; night watch; sit up late; of course; renew; renovate; again; more and more; further
刻,N3,8,6,866,コク,きざ.む; きざ.み,engrave; cut fine; chop; hash; mince; time; carving
賛,N3,15,5,868,サン,たす.ける; たた.える,approve; praise; title or inscription on picture; assist; agree with
抱,N3,8,8,871,ホウ,だ.く; いだ.く; かか.える,embrace; hug; hold in arms
犯,N3,5,5,874,ハン; ボン,おか.す,crime; sin; offense
恐,N3,10,8,878,キョウ,おそ.れる; おそ.る; おそ.ろしい; こわ.い; こわ.がる,fear; dread; awe
息,N3,10,3,882,ソク,いき,breath; respiration; son; interest (on money); rest; coming to an end
遠,N3,13,2,887,エン; オン,とお.い,distant; far
戻,N3,7,8,890,レイ,もど.す; もど.る,re-; return; revert; resume; restore; go backwards
願,N3,19,4,894,ガン,ねが.う; -ねがい,petition; request; vow; wish; hope
絵,N3,12,2,895,カイ; エ,,picture; drawing; painting; sketch
越,N3,12,8,897,エツ; オツ,こ.す; -こ.す; -ご.し; こ.える; -ご.え,surpass; cross over; move to; exceed; Vietnam
欲,N3,11,6,902,ヨク,ほっ.する; ほ.しい,longing; covetousness; greed; passion; desire; craving
痛,N3,12,6,903,ツウ,いた.い; いた.む; いた.ましい; いた.める,pain; hurt; damage; bruise
笑,N3,10,4,913,ショウ,わら.う; え.む,laugh
互,N3,4,8,914,ゴ,たが.い; かたみ.に,mutually; reciprocally; together
束,N3,7,4,918,ソク,たば; たば.ねる; つか; つか.ねる,bundle; sheaf; ream; tie in bundles; govern; manage; control
似,N3,7,5,923,ジ,に.る; ひ.る,becoming; resemble; counterfeit; imitate; suitable
列,N3,6,3,927,レツ; レ,,file; row; rank; tier; column
探,N3,11,6,930,タン,さぐ.る; さが.す,grope; search; look for
逃,N3,9,8,931,トウ,に.げる; に.がす; のが.す; のが.れる,escape; flee; shirk; evade; set free
遊,N3,12,3,941,ユウ; ユ,あそ.ぶ; あそ.ばす,play
迷,N3,9,5,942,メイ,まよ.う,astray; be perplexed; in doubt; lost; err; illusion
夢,N3,13,5,943,ム; ボウ,ゆめ; ゆめ.みる; くら.い,dream; vision; illusion
君,N3,7,3,947,クン,きみ; -ぎみ,mister; you; ruler; male name suffix
閉,N3,11,6,951,ヘイ,と.じる; と.ざす; し.める; し.まる; た.てる,closed; shut
緒,N3,14,8,952,ショ; チョ,お; いとぐち,thong; beginning; inception; end; cord; strap; mental or emotional state
折,N3,7,4,962,セツ; シャク,お.る; おり; お.り; -お.り; お.れる,fold; break; fracture; bend; yield; submit
草,N3,9,1,967,ソウ,くさ; くさ-; -ぐさ,grass; weeds; herbs; pasture; write; draft
暮,N3,14,6,978,ボ,く.れる; く.らす,evening; twilight; season's end; livelihood; make a living; spend time
酒,N3,10,3,1006,シュ,さけ; さか-,sake; alcohol
悲,N3,12,3,1014,ヒ,かな.しい; かな.しむ,grieve; sad; deplore; regret
